,full file paths,md5,sha256,sha1,path parts
30,/home/writer/Documents/timeline.txt,70d760b720670592435700b96067eafd,5f9c7fb62f0e7ac2b3e74b9b62ba6cf3089b410e9cc89fe2433f62d8de7d4983,9e49883d5120ba8109c78b607a6e9b7fd25582ff,"['', 'home', 'writer', 'Documents', 'timeline.txt']"
31,/home/writer/Documents/McDonnell.odt,89ed16ab9df1bfb4bfa6b3ab740ca1f1,508a9716456d4e25bbda13b2aa21e95e9c002a2e431748e4c3d3a971743d0840,fb38e17c26e1db06c35b831bfae652553f95359b,"['', 'home', 'writer', 'Documents', 'McDonnell.odt']"
32,/home/writer/Documents/Better File System Search Program.ipynb,77ce9206d8415952ced1ee6edf95e475,b9c814af13354307a29999ea6092542bf3fc9839af32bd0f121aa2a2b6e2f3ba,049e4034c67107c75f039ae0b8e2f0b9d8fcc013,"['', 'home', 'writer', 'Documents', 'Better File System Search Program.ipynb']"
33,/home/writer/Documents/glob code read files.ipynb,e57e3c6911adcb58d19b0a1942e7a350,edbdb311e974490b39a590b159a02733182a266a1b970d560a7ebc5560ed712f,aada44c2d669c87fb946ba7bc66b4b3cd648291b,"['', 'home', 'writer', 'Documents', 'glob code read files.ipynb']"
34,/home/writer/Documents/Winter Freedom.odt,3e443f30555499c026dab96b4b0781e6,bd59d2f2a5f3bffd9f64f4c0205ee253e4ab03d3a5823200504230bd6c33d02f,569fea4b42cf864f447da80dba674a8624cf6b89,"['', 'home', 'writer', 'Documents', 'Winter Freedom.odt']"
35,/home/writer/Documents/SweetScape/010 Templates/Repository/BMP.bt,a8c6b46bc8bdf2eca83f5e9f2513b522,444523462d60cce57e44e4356a2e3dac1c16394ec98c3d926554bee90f4b98c3,44a2928cc449d056250e665b6ca6f15dc48d28ed,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Templates', 'Repository', 'BMP.bt']"
36,/home/writer/Documents/SweetScape/010 Templates/Repository/WAV.bt,e8a7f40567cba44ebe0946b82404f3da,e223e39def6fde33fb7b73401b51466cbe7004813a89183f6efdd73363bfcc45,2e777b6485efa1577c37fc501219768d20bd6460,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Templates', 'Repository', 'WAV.bt']"
37,/home/writer/Documents/SweetScape/010 Templates/Repository/ZIP.bt,9d87bf9324d9d9f787e34f53e20bebbb,8f0870929cdcbbc0f53eb4f780797d4b0ef4dfda9183950f9f28a5d0b51c20d0,f4840c69102cf262bc2105a774101b14cbb52041,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Templates', 'Repository', 'ZIP.bt']"
38,/home/writer/Documents/SweetScape/010 Templates/Repository/010.bt,145a7b3433ec836b2bfdaac94f701820,cf1ecc85e8f11ed12307be26327f42d9e7f9a9842747190458e39f996d02db3e,ddf6d1009caff197fa609259310bac431cfcec9c,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Templates', 'Repository', '010.bt']"
39,/home/writer/Documents/SweetScape/010 Templates/Repository/CPP.bt,73c1bf73052b82b173d1ad97d83583df,1fbf86b36da9cdf9f626a0fc2b35cb8c59abba7483195b0bacaf6e99a2aebebd,949de36a9897838a9a0c1a96f2688dffcb868bcd,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Templates', 'Repository', 'CPP.bt']"
