,full file paths,md5,sha256,sha1,path parts
41,/home/writer/Pictures/Wallpapers/Firefox_wallpaper (copy).png,0fe147d7395365d4746ef0abb268aeeb,96ae5c1de4383ebb1f41b4d38c4c6d47fe22688b2f95f6f96bdc52e2624b1f8f,dd1056657881c474e44f7ec423133b8c0062bf5c,"['', 'home', 'writer', 'Pictures', 'Wallpapers', 'Firefox_wallpaper (copy).png']"
42,/home/writer/010/010EditorLinux64Installer10.0.2.tar.gz,ad370cd62198b1068d5fe4de9aa55d7d,63fc4417d8e16eb43b8924bb4877a0c5bfde9287f5a8725a76ba752aca686722,342f121e86c1d937fdcfcd10e67d157c90a64fe0,"['', 'home', 'writer', '010', '010EditorLinux64Installer10.0.2.tar.gz']"
43,/home/writer/010/Install.txt,9f45ff424c101026001b01853087ff91,5f46365dedf6459bba881f5ac26e992e634a558ebe8f2ec9d0a06ca984a3819a,84eeeca4fce4c53d369e1fdc625b573636024a82,"['', 'home', 'writer', '010', 'Install.txt']"
44,/home/writer/010editor/010editor.news,d957ae31b788a6d5337bf1e7e73b3362,349b57e4198024b06d02c98d65373afbde913128890a3a5917d6a2d7a33cd45a,b9132723f250105df4ac7eaed34391e7021f2467,"['', 'home', 'writer', '010editor', '010editor.news']"
45,/home/writer/010editor/Changes.txt,80857d8098f7645fc4afc512771af11d,43d4af53166e9c7bfc8f04dfc67cdee6102ef6991f3a2e7bc94922aec74e8d88,620504e7b09631039fcd8a949c297b4f739b5109,"['', 'home', 'writer', '010editor', 'Changes.txt']"
46,/home/writer/010editor/license.txt,a89e12e9cc3a8ec4fa0b37a8504ecc1e,32f5a1bf3e603ace619a53e030602fdfdad7f6b9f19d1c979e6aad7316246447,6f090cf39a0770a74206ca8dbebfcdd3d07b85af,"['', 'home', 'writer', '010editor', 'license.txt']"
47,/home/writer/010editor/Readme.txt,0cd70302765a3b6be0d5a2fcf75e7538,2553d03c7f5d52475175cce7b9b7e12668cedb701e5dbcf84cd95c31a4481934,35c3cbc2d328553ede411ed48875cc8508c4d4c0,"['', 'home', 'writer', '010editor', 'Readme.txt']"
48,/home/writer/010editor/qt.conf,f7d57e5f2952c8967d7416ac4832bd4c,355261ddd49ea2a954ccc2c4976fa55c26fc902fe4e55ab79aca51c3ff57c0f6,45f36eac05b0e63167a21cd4bb9ada7b8c139a44,"['', 'home', 'writer', '010editor', 'qt.conf']"
49,/home/writer/010editor/010_icon_128x128.png,604dce2644aa814ca871019982738fc9,d84a95901432d1798f445c139f99522be0447e5277069522def28a5d16b6aa10,978c99adcf5fefc2e4ce7db60c52cdef54f82c35,"['', 'home', 'writer', '010editor', '010_icon_128x128.png']"
50,/home/writer/010editor/010Editor.qch,54da065b6448e08ae1bbb16b24562495,9f36b24f515ddb57017f926e4d885fd47ea240fcfe5ee6c51039ef106d1090cf,19e68678e1bb88af8cf24d7b88cdc349d91f06ca,"['', 'home', 'writer', '010editor', '010Editor.qch']"
